Job_Title,URL,Job Type,Company,City,State,Minimum Salary,Maximum Salary,Skills
 Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=424&ao=25074&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3749bd5b&cb=1523202784809&jobListingId=2722470175,Internship, GDIT,Philadelphia,PA,39000,58000,rest
 Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=803&ao=294132&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_96ef5ddc&cb=1523203736028&jobListingId=2724530293,Internship, Magellan Health,Columbus,OH,43000,64000,
 Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=619&ao=132930&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_698a33c7&cb=1522358295575&jobListingId=2705822587,Internship, Intel,Hillsboro,OR,60000,89000,"c++,algorithm,android,rest"
 Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=729&ao=178861&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_875f3d2c&cb=1522358378402&jobListingId=2705464159,Internship, General Dynamics,Philadelphia,PA,53000,79000,rest
 Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=812&ao=179222&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0d1121e1&cb=1522358446167&jobListingId=2705464177,Internship, General Dynamics Information Technology,Philadelphia,PA,43000,64000,rest
 Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=930&ao=4120&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_78109c3d&cb=1522358520553&jobListingId=2706554023,Internship, Worksource Oregon,Hillsboro,OR,0,0,"java,c++"
 Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=4120&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_26e953c8&cb=1522355230260&jobListingId=2706554023,Part Time, Worksource Oregon,Hillsboro,OR,0,0,"java,c++"
 Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=1114&ao=148364&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_052bfed8&cb=1522358681877&jobListingId=2559338004,Internship, Astranis,San Francisco,CA,0,0,c++
 Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=4128&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8f0f4351&cb=1523202158181&jobListingId=2656433522,Internship, Xylem,College Station,TX,0,0,"java,c#,c++,algorithm,rest"
 Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=513&ao=37049&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_78d1fbe8&cb=1523203015038&jobListingId=2656804430,Internship, Sensus,College Station,TX,0,0,"java,c#,c++,algorithm,rest"
 Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=730&ao=37049&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_97544fa0&cb=1522358378404&jobListingId=2650141126,Internship, Sensus,Middletown,CT,0,0,"java,c++,algorithm"
 Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=902&ao=4128&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ef1ed792&cb=1522358520506&jobListingId=2649883840,Internship, Xylem,Middletown,CT,45000,67000,"java,c++,algorithm"
 Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=706&ao=136619&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7250d1dd&cb=1523203501745&jobListingId=2722598837,Internship, Thales,Irvine,CA,41000,61000,"java,android,rest"
